Symbol,shortName,fullTimeEmployees,logo_url,company_sector_dim.Index,Index_Loc
A,"Agilent Technologies, Inc.",17400,https://logo.clearbit.com/agilent.com,1,1
AMD,"Advanced Micro Devices, Inc.",15500,https://logo.clearbit.com/amd.com,10,1
AMAT,"Applied Materials, Inc.",28500,https://logo.clearbit.com/appliedmaterials.com,23,1
ANET,"Arista Networks, Inc.",2993,https://logo.clearbit.com/arista.com,29,1
INTC,Intel Corporation,122900,https://logo.clearbit.com/intel.com,10,1
CRL,Charles River Laboratories Inte,18600,https://logo.clearbit.com/criver.com,1,10
ADI,"Analog Devices, Inc.",24700,https://logo.clearbit.com/analog.com,10,10
AAL,"American Airlines Group, Inc.",127000,https://logo.clearbit.com/aa.com,2,2
AAP,Advance Auto Parts Inc.,41000,https://logo.clearbit.com/advanceautoparts.com,3,3
ALK,"Alaska Air Group, Inc.",21582,https://logo.clearbit.com/alaskaair.com,2,23
AMZN,"Amazon.com, Inc.",1622000,https://logo.clearbit.com/amazon.com,28,23
EXPD,Expeditors International of Was,19070,https://logo.clearbit.com/expeditors.com,55,23
EXPE,"Expedia Group, Inc.",14800,https://logo.clearbit.com/expediagroup.com,43,23
FFIV,"F5, Inc.",6396,https://logo.clearbit.com/f5.com,9,23
AAPL,Apple Inc.,154000,https://logo.clearbit.com/apple.com,4,4
ABBV,AbbVie Inc.,50000,https://logo.clearbit.com/abbvie.com,5,5
ABT,Abbott Laboratories,113000,https://logo.clearbit.com/abbott.com,7,5
AZO,"AutoZone, Inc.",65100,https://logo.clearbit.com/autozone.com,3,40
FDX,FedEx Corporation,384000,https://logo.clearbit.com/fedex.com,55,40
IP,International Paper Company,38000,https://logo.clearbit.com/internationalpaper.com,24,40
ABC,AmerisourceBergen Corporation,38000,https://logo.clearbit.com/amerisourcebergen.com,6,6
BBWI,"Bath & Body Works, Inc.",8800,https://logo.clearbit.com/bbwinc.com,3,15
AEP,American Electric Power Company,16688,https://logo.clearbit.com/aep.com,14,15
HBAN,Huntington Bancshares Incorpora,19722,https://logo.clearbit.com/huntington.com,53,15
ABMD,"ABIOMED, Inc.",2003,https://logo.clearbit.com/abiomed.com,7,7
BBY,"Best Buy Co., Inc.",57750,https://logo.clearbit.com/investors.bestbuy.com,3,43
ACN,Accenture plc,710000,https://logo.clearbit.com/accenture.com,8,8
AON,Aon plc,50000,https://logo.clearbit.com/aon.com,19,8
ALLE,Allegion plc,11000,https://logo.clearbit.com/allegion.com,22,8
APTV,Aptiv PLC,155000,https://logo.clearbit.com/aptiv.com,32,8
ETN,"Eaton Corporation, PLC",85947,https://logo.clearbit.com/eaton.com,25,8
ADBE,Adobe Inc.,25988,https://logo.clearbit.com/adobe.com,9,9
AVGO,Broadcom Inc.,20000,https://logo.clearbit.com/broadcom.com,10,9
CDNS,"Cadence Design Systems, Inc.",9300,https://logo.clearbit.com/cadence.com,13,9
CSCO,"Cisco Systems, Inc.",79500,https://logo.clearbit.com/cisco.com,61,9
EBAY,eBay Inc.,10800,https://logo.clearbit.com/ebayinc.com,28,9
AMGN,Amgen Inc.,24200,https://logo.clearbit.com/amgen.com,5,27
ADM,Archer-Daniels-Midland Company,39218,https://logo.clearbit.com/adm.com,11,11
BA,Boeing Company (The),142000,https://logo.clearbit.com/boeing.com,40,11
CAG,"ConAgra Brands, Inc.",18600,https://logo.clearbit.com/conagrabrands.com,45,11
CBOE,"Cboe Global Markets, Inc.",1196,https://logo.clearbit.com/cboe.com,48,11
CME,CME Group Inc.,3480,https://logo.clearbit.com/cmegroup.com,48,11
EQR,Equity Residential,2400,https://logo.clearbit.com/equityapartments.com,36,11
EXC,Exelon Corporation,31518,https://logo.clearbit.com/exeloncorp.com,15,11
BIIB,Biogen Inc.,9610,https://logo.clearbit.com/biogen.com,5,20
AKAM,"Akamai Technologies, Inc.",9180,https://logo.clearbit.com/akamai.com,9,20
ADP,"Automatic Data Processing, Inc.",56000,https://logo.clearbit.com/adp.com,12,12
BMY,Bristol-Myers Squibb Company,32200,https://logo.clearbit.com/bms.com,5,18
AIG,"American International Group, I",36600,https://logo.clearbit.com/aig.com,17,18
AIZ,"Assurant, Inc.",15600,https://logo.clearbit.com/assurant.com,18,18
BK,The Bank of New York Mellon Cor,49600,https://logo.clearbit.com/bnymellon.com,26,18
BLK,"BlackRock, Inc.",18400,https://logo.clearbit.com/blackrock.com,26,18
AXP,American Express Company,64000,https://logo.clearbit.com/americanexpress.com,39,18
C,"Citigroup, Inc.",228000,https://logo.clearbit.com/citigroup.com,41,18
CL,Colgate-Palmolive Company,33800,https://logo.clearbit.com/colgatepalmolive.com,54,18
ED,"Consolidated Edison, Inc.",13871,https://logo.clearbit.com/conedison.com,14,18
EL,"Estee Lauder Companies, Inc. (T",44640,https://logo.clearbit.com/elcompanies.com,54,18
FOX,Fox Corporation,9000,https://logo.clearbit.com/foxcorporation.com,76,18
FOXA,Fox Corporation,9000,https://logo.clearbit.com/foxcorporation.com,76,18
GS,"Goldman Sachs Group, Inc. (The)",45100,https://logo.clearbit.com/goldmansachs.com,80,18
HES,Hess Corporation,1545,https://logo.clearbit.com/hess.com,30,18
IFF,International Flavors & Fragran,24000,https://logo.clearbit.com/iff.com,20,18
IPG,"Interpublic Group of Companies,",55600,https://logo.clearbit.com/interpublic.com,88,18
ADSK,"Autodesk, Inc.",12600,https://logo.clearbit.com/autodesk.com,13,13
AEE,Ameren Corporation,9116,https://logo.clearbit.com/ameren.com,14,14
CNC,Centene Corporation,72500,https://logo.clearbit.com/centene.com,57,14
EMR,Emerson Electric Company,86700,https://logo.clearbit.com/emerson.com,25,14
CAH,"Cardinal Health, Inc.",44000,https://logo.clearbit.com/cardinalhealth.com,6,52
AES,The AES Corporation,8450,https://logo.clearbit.com/aes.com,15,16
AVB,"AvalonBay Communities, Inc.",2839,https://logo.clearbit.com/avalonbay.com,36,16
AFL,AFLAC Incorporated,12447,https://logo.clearbit.com/aflac.com,16,17
ALGN,"Align Technology, Inc.",23625,https://logo.clearbit.com/aligntech.com,7,22
BIO,"Bio-Rad Laboratories, Inc.",7900,https://logo.clearbit.com/bio-rad.com,7,46
AJG,Arthur J. Gallagher & Co.,39876,https://logo.clearbit.com/ajg.com,19,19
BSX,Boston Scientific Corporation,41000,https://logo.clearbit.com/bostonscientific.com,7,50
HOLX,"Hologic, Inc.",6705,https://logo.clearbit.com/hologic.com,42,50
ALB,Albemarle Corporation,6000,https://logo.clearbit.com/albemarle.com,20,21
BAC,Bank of America Corporation,208000,https://logo.clearbit.com/bankofamerica.com,41,21
DUK,Duke Energy Corporation (Holdin,27605,https://logo.clearbit.com/duke-energy.com,14,21
HON,Honeywell International Inc.,99000,https://logo.clearbit.com/honeywell.com,84,21
BR,"Broadridge Financial Solutions,",13704,https://logo.clearbit.com/broadridge.com,8,48
CDW,CDW Corporation,13900,https://logo.clearbit.com/cdw.com,8,55
ALL,Allstate Corporation (The),54300,https://logo.clearbit.com/allstate.com,21,24
IEX,IDEX Corporation,7500,https://logo.clearbit.com/idexcorp.com,25,24
CB,Chubb Limited,31000,https://logo.clearbit.com/chubb.com,21,25
AMCR,Amcor plc,46000,https://logo.clearbit.com/amcor.com,24,25
AME,"AMETEK, Inc.",18500,https://logo.clearbit.com/ametek.com,25,26
CDAY,Ceridian HCM Holding Inc.,7462,https://logo.clearbit.com/ceridian.com,13,28
AMP,"Ameriprise Financial, Inc.",12000,https://logo.clearbit.com/ameriprise.com,26,28
GIS,"General Mills, Inc.",35000,https://logo.clearbit.com/generalmills.com,45,28
AMT,American Tower Corporation (REI,6378,https://logo.clearbit.com/americantower.com,27,29
BXP,"Boston Properties, Inc.",743,https://logo.clearbit.com/bostonproperties.com,33,29
GE,General Electric Company,168000,https://logo.clearbit.com/ge.com,25,29
ANSS,"ANSYS, Inc.",5100,https://logo.clearbit.com/ansys.com,13,30
AOS,A.O. Smith Corporation,13700,https://logo.clearbit.com/aosmith.com,25,31
CNP,"CenterPoint Energy, Inc (Holdin",9418,https://logo.clearbit.com/centerpointenergy.com,14,32
CCI,Crown Castle International Corp,5000,https://logo.clearbit.com/crowncastle.com,27,32
APA,APA Corporation,2253,https://logo.clearbit.com/apacorp.com,30,32
COP,ConocoPhillips,9900,https://logo.clearbit.com/conocophillips.com,30,32
CPT,Camden Property Trust,1700,https://logo.clearbit.com/camdenliving.com,36,32
BKR,Baker Hughes Company,55000,https://logo.clearbit.com/bakerhughes.com,44,32
CTRA,Coterra Energy Inc.,936,https://logo.clearbit.com/coterra.com,30,32
EOG,"EOG Resources, Inc.",2800,https://logo.clearbit.com/eogresources.com,30,32
HAL,Halliburton Company,40000,https://logo.clearbit.com/halliburton.com,44,32
HPE,Hewlett Packard Enterprise Comp,60400,https://logo.clearbit.com/hpe.com,61,32
APD,"Air Products and Chemicals, Inc",20000,https://logo.clearbit.com/airproducts.com,20,33
APH,Amphenol Corporation,90000,https://logo.clearbit.com/amphenol.com,31,34
CRM,"Salesforce, Inc.",73541,https://logo.clearbit.com/salesforce.com,13,72
FRC,FIRST REPUBLIC BANK,6295,https://logo.clearbit.com/firstrepublic.com,53,72
ARE,Alexandria Real Estate Equities,559,https://logo.clearbit.com/are.com,33,35
ATO,Atmos Energy Corporation,4684,https://logo.clearbit.com/atmosenergy.com,34,36
CBRE,CBRE Group Inc,105000,https://logo.clearbit.com/cbre.com,49,36
CMA,Comerica Incorporated,7484,https://logo.clearbit.com/comerica.com,53,36
